features,predicted_happiness_score
"[0.425962775945663, 0.431085407733917, 0.207948461174965, 0.0609290152788162, 0.209930211305618, 0.1814442864913351, 0.18362633694800728, 0.08857830377571702, 0.025953492483800265, 0.08942245556260066, 0.18583462876111748, 0.08964354717325039, 0.026265609394294544, 0.0904978507363497, 0.04324256250503592, 0.012670094968135759, 0.0436546643951385, 0.003712344902846218, 0.012790841052125114, 0.044070693618821426]",3.920369167445648
"[0.49027, 1.20806, 0.26169, 0.1428, 0.92356, 0.2403646729, 0.5922755761999999, 0.12829875629999998, 0.070010556, 0.45279376120000003, 1.4594089635999998, 0.31613722139999995, 0.172510968, 1.1157158936, 0.06848165609999998, 0.037369332, 0.2416864164, 0.02039184, 0.13188436800000003, 0.8529630736000001]",6.583047923422435
"[0.23889, 1.16492, 0.04707, 0.12348, 0.64718, 0.0570684321, 0.27828773879999996, 0.0112445523, 0.0294981372, 0.1546048302, 1.3570386064, 0.0548327844, 0.1438443216, 0.7539129255999999, 0.0022155849, 0.0058122036, 0.0304627626, 0.015247310400000002, 0.0799137864, 0.4188419524]",5.611349752128018
"[0.45, 1.333, 0.348, 0.278, 0.996, 0.2025, 0.59985, 0.1566, 0.12510000000000002, 0.4482, 1.776889, 0.46388399999999996, 0.370574, 1.3276679999999998, 0.12110399999999999, 0.096744, 0.34660799999999997, 0.07728400000000002, 0.276888, 0.992016]",6.504146376652624
"[0.402264982461929, 1.29121541976929, 0.416608929634094, 0.0656007081270218, 0.618784427642822, 0.16181711611509603, 0.5194107481880658, 0.16758718377274184, 0.026388867704206547, 0.24891530693345457, 1.6672372602499839, 0.5379318739571213, 0.08470464588139513, 0.7989839944855264, 0.1735630002508655, 0.027329840796037164, 0.2577911180745216, 0.004303452906766704, 0.04059269663134301, 0.38289416789325487]",6.011059564984115
"[0.40661, 0.90198, 0.11053, 0.14293, 0.69639, 0.1653316921, 0.3667540878, 0.0449426033, 0.058116767300000004, 0.2831591379, 0.8135679204, 0.09969584940000001, 0.1289200014, 0.6281298522, 0.012216880900000001, 0.0157980529, 0.0769719867, 0.0204289849, 0.09953502269999999, 0.4849590320999999]",5.497109021774847
"[0.632, 1.01, 0.143, 0.101, 0.817, 0.399424, 0.63832, 0.090376, 0.063832, 0.516344, 1.0201, 0.14443, 0.10201, 0.82517, 0.020448999999999995, 0.014443, 0.11683099999999998, 0.010201000000000002, 0.082517, 0.6674889999999999]",6.31683376419318
"[0.0, 0.63069, 0.18077, 0.10039, 0.29759, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3977698761, 0.11400983129999999, 0.0633149691, 0.1876870371, 0.032677792899999995, 0.018147500299999998, 0.0537953443, 0.010078152099999998, 0.0298750601, 0.08855980810000001]",3.948007761907492
"[0.473, 1.356, 0.16, 0.21, 0.986, 0.22372899999999998, 0.641388, 0.07568, 0.09932999999999999, 0.46637799999999996, 1.8387360000000001, 0.21696000000000001, 0.28476, 1.337016, 0.0256, 0.0336, 0.15776, 0.04409999999999999, 0.20706, 0.972196]",6.302981424292136
"[0.394, 0.959, 0.173, 0.052, 0.691, 0.155236, 0.377846, 0.068162, 0.020488, 0.272254, 0.919681, 0.16590699999999997, 0.049867999999999996, 0.662669, 0.029928999999999997, 0.008995999999999999, 0.11954299999999998, 0.002704, 0.035932, 0.47748099999999993]",5.248120272109101
"[0.585, 1.303, 0.33, 0.38, 1.026, 0.34222499999999995, 0.7622549999999999, 0.19305, 0.2223, 0.60021, 1.697809, 0.42999, 0.49513999999999997, 1.336878, 0.10890000000000001, 0.1254, 0.33858000000000005, 0.1444, 0.38988, 1.052676]",6.620472646260304
"[0.541, 0.835, 0.162, 0.074, 0.615, 0.292681, 0.451735, 0.08764200000000001, 0.040034, 0.33271500000000004, 0.697225, 0.13527, 0.06179, 0.513525, 0.026244, 0.011988, 0.09963, 0.005475999999999999, 0.045509999999999995, 0.378225]",5.79968685560111
"[0.09511, 0.93383, 0.29889, 0.0, 0.70766, 0.0090459121, 0.08881657130000001, 0.0284274279, 0.0, 0.06730554259999999, 0.8720384689000001, 0.2791124487, 0.0, 0.6608341378, 0.0893352321, 0.0, 0.21151249739999997, 0.0, 0.0, 0.5007826755999999]",4.865594559998913
"[0.43477, 0.47428, 0.3003, 0.04232, 0.65088, 0.1890249529, 0.20620271559999998, 0.130561431, 0.0183994664, 0.2829830976, 0.22494151839999998, 0.142426284, 0.020071529600000002, 0.3086993664, 0.09018009, 0.012708696000000002, 0.19545926400000002, 0.0017909824000000003, 0.027545241600000003, 0.42364477440000003]",5.013888259922449
"[0.27854, 0.75216, 0.23219, 0.0305, 0.05108, 0.0775845316, 0.20950664640000002, 0.06467420260000001, 0.00849547, 0.0142278232, 0.5657446656, 0.1746440304, 0.02294088, 0.038420332800000005, 0.053912196100000004, 0.007081795, 0.011860265200000001, 0.00093025, 0.00155794, 0.0026091664]",4.751825131008664
"[0.528, 1.116, 0.088, 0.001, 0.726, 0.27878400000000003, 0.5892480000000001, 0.046464, 0.000528, 0.383328, 1.2454560000000003, 0.098208, 0.001116, 0.810216, 0.007743999999999999, 8.8e-05, 0.063888, 1e-06, 0.000726, 0.527076]",5.591444724591906
"[0.418, 1.365, 0.151, 0.078, 0.857, 0.174724, 0.57057, 0.063118, 0.032604, 0.358226, 1.863225, 0.206115, 0.10647, 1.169805, 0.022801, 0.011778, 0.129407, 0.006084, 0.066846, 0.734449]",6.344318113064081
"[0.44888, 1.15174, 0.0868, 0.15184, 0.77361, 0.2014932544, 0.5169930511999999, 0.038962784, 0.0681579392, 0.3472580568, 1.3265050275999999, 0.099971032, 0.1748802016, 0.8909975814, 0.00753424, 0.013179712000000001, 0.067149348, 0.023055385600000002, 0.11746494240000001, 0.5984724321]",6.241334902120748
"[0.471, 1.092, 0.066, 0.05, 0.881, 0.22184099999999998, 0.514332, 0.031086, 0.02355, 0.41495099999999996, 1.1924640000000002, 0.07207200000000001, 0.05460000000000001, 0.9620520000000001, 0.0043560000000000005, 0.0033000000000000004, 0.058146, 0.0025000000000000005, 0.044050000000000006, 0.776161]",6.350238361375117
"[0.312328577041626, 1.1982102394104, 0.0437853783369064, 0.0760467872023582, 0.356578588485718, 0.09754914003684689, 0.37423529907175623, 0.013675424911195212, 0.02375158483549987, 0.11136968314525582, 1.435707777827928, 0.052464088659739554, 0.09112003910012936, 0.42725611587809464, 0.0019171593561060321, 0.0033297373489614658, 0.015612928403687217, 0.005783113843800752, 0.027116656039490653, 0.12714828976646703]",4.785284551394827
"[0.334, 0.652, 0.216, 0.113, 0.424, 0.11155600000000002, 0.21776800000000002, 0.072144, 0.037742000000000005, 0.141616, 0.42510400000000004, 0.140832, 0.073676, 0.276448, 0.046655999999999996, 0.024408, 0.091584, 0.012769, 0.047912, 0.179776]",4.580746976863949
